BRNOD,Nova Odessa,2247S 04718W,,
BRANH,Anhembi,2247S 04807W,,
CURSL,Sagua la Grande,2248N 08004W,,
INIXW,Jamshedpur,2248N 08611E,,
BRHTL,Hortolandia,2251S 04715W,,
BRIGI,Itaguai,2252S 04346W,,
BRRIO,Rio de Janeiro,2253S 04314W,,
CLSIG,Sierra Gorda,2254S 06919W,,
CUMAR,Mariel,2300N 08245W,,
BRVIN,Vinhedo,2301S 04659W,,
BRCPI,Capivari,2301S 04731W,,
INIXY,Kandla,2302N 07013E,,
INAMD,Ahmedabad,2302N 07237E,,
CUCAR,Cardenas,2302N 08112W,,
CNFOS,Foshan Railway Station,2302N 11306E,,
BRBCP,Bernardino de Campos,2302S 04929W,,
BRLOZ,Louveira,2304S 04658W,,
INGIN,Gandhidham,2305N 07008E,,
CNGCE,Guicheng,2305N 10936E,,
CNXOT,Xiaotang,2305N 11259E,,
CLPAG,Puerto Angamos,2305S 07027W,,
CNYBU,Yanbu,2306N 11310E,,
BWMAH,Mahalapye,2306S 02650E,,
BRCAP,Cacapava,2306S 04542W,,
BRIDU,Indaiatuba,2306S 04712W,,
CUHAV,La Habana,2307N 08221W,,
CNGGZ,Guangzhou,2308N 11314E,,
CNSNL,Sanyuanli/Guangzhou,2309N 11315E,,
CNBOO,Boluo,2310N 11416E,,
BRJUN,Jundiai,2311S 04652W,,
ARHIC,Hickmann,2312S 06334W,,
INBAE,Bardhaman,2314N 08752E,,
INBKR,Bankura,2315N 08704E,,
INIXR,Ranchi,2321N 08520E,,
INNMK,Namkum,2321N 08522E,,
BRIPQ,Ipero,2321S 04741W,,
BRSZN,Suzano,2332S 04618W,,
BRAMO,Aluminio,2333S 04715W,,
BRSAO,Sao Paulo,2334S 04634W,,
USSD5,Sundance,2335N 13454W,,
INHNG,Himatnagar,2336N 07257E,,
BRSQP,Siqueira Campos,2341S 04950W,,
CNLBI,Laibin,2342N 10916E,,
INCSM,Chanasma,2343N 07207E,,
BRTRO,Terra Roxa,2351S 05001W,,
AUSTR,South Trees,2354S 15117E,,
BRSSZ,Santos,2357S 04620W,,
BRSVT,Sao Vicente,2357S 04623W,,
TWCHW,Chang-Hua,2404N 12031E,,
TWWUJ,Wu-jih,2406N 12037E,,
SARAD,Harad,2408N 04903E,,
ARSSJ,San Salvador de Jujuy,2411S 06518W,,
INRKO,Renukoot,2413N 08302E,,
TWFYN,Feng-yuan-ch'u,2415N 12043E,,
BRJRV,Jaguariaiva,2415S 04942W,,
CNXAM,Xiamen,2427N 11806E,,
INABU,Abu Road,2429N 07247E,,
MZCHO,Chokwe,2432S 03259E,,
TWZMI,Miao-li,2433N 12049E,,
SARYP,Riyadh Dry Port,2438N 04644E,,
ZANYL,Nylstroom,2441S 02824E,,
CLLVT,Los Vientos,2441S 06946W,,
TWILA,I-lan,2446N 12145E,,
BWRSA,Ramotswa,2452S 02549E,,
CNANN,Anning,2454N 10229E,,
ZAMAH,Marble Hall,2457S 02918E,,
TWWTU,Wu-tu,2505N 12140E,,
AUICL,Isis Central,2513S 15227E,,
CNGUI,Guilin,2516N 11017E,,
KRURG,Uiryeong-gun,2519N 12815E,,
CNDHU,Danzhou,2522N 10926E,,
INMUG,Munger,2523N 08628E,,
BRGAV,Guarapuava,2524S 05128W,,
INBDH,Bhadohi,2525N 08234E,,
BRCWB,Curitiba,2526S 04916W,,
BRPQA,Piraquara,2527S 04904W,,
AUOKU,Oakhurst,2531S 15238E,,
AUBRQ,Brooweena,2536S 15216E,,
INRGJ,Raiganj Railway Station Lcs,2537N 08807E,,
ZACNA,Cullinan,2540S 02831E,,
PKKRB,Khokhropar,2542N 07011E,,
ZAPRY,Pretoria,2542S 02813E,,
ZAZAT,Capital Park,2544S 02812E,,
ZAMPA,Menlo Park,2546S 02818E,,
ARMQO,Monte Quemado,2548S 06252W,,
ARRFO,Rosario de la Frontera,2548S 06458W,,
ZABHT,Bronkhorstspruit,2549S 02844E,,
ZANCF,Northcliff,2608S 02757E,,
ZABFV,Bedfordview,2610S 02809E,,
ZAWFD,Witfield,2611S 02812E,,
ZAJNB,Johannesburg,2612S 02805E,,
ZAHDL,Heriotdale/Johannesburg,2612S 02807E,,
ZADUN,Dunswart/Boksburg,2612S 02816E,,
BRPFT,Paula Freitas,2612S 05057W,,
INGWL,Gwalior,2613N 07810E,,
INJUX,Basni,2614N 07301E,,
CNANS,Anshun,2615N 10556E,,
CLCNR,Chanaral,2621S 07037W,,
SADMM,Ad Dammam,2625N 05006E,,
ZAERM,Ermelo,2632S 02959E,,
CNPZH,Panzhihuazhan,2634N 10143E,,
AUYDN,Yandina,2634S 15257E,,
CNGYA,Guiyang,2635N 10642E,,
CNKJH,Kaili,2635N 10758E,,
ZADCV,Duncanville/Vereeniging,2639S 02756E,,
AUKUP,Kunda Park,2639S 15302E,,
