AUJOV,Jabiru Venture (oil terminal),,,
AUKGC,Kingscote,,,
AUKIB,King Bay,,,
AUKIT,Kingston,,,
AUKLP,Klein Point,,,
AUKOI,Koolan Island,,,
AUKTR,Katherine,,,
AUKUR,Kurnell,,,
AULAB,Lady Barron,,,
AULDH,Lord Howe Is,,,
AULGT,Legendre Terminal,,,
AULKU,Torrensville,,,
AULME,Bangholme,,,
AULUC,Lucinda,,,
AUMBH,Maryborough,,,
AUMIB,Milner Bay,,,
AUMIL,Milperra,,,
AUMOU,Mourilyan,,,
AUMRS,Melrose,,,
AUNTE,Northern Endeavour,,,
AUOSB,Osborne Island,,,
AUPAU,Port Arthur,,,
AUPBY,Port Bonython,,,
AUPCT,Port Curtis,,,
AUPEL,Pelican Point,,,
AUPEX,Exmouth,,,
AUPGI,Port Giles,,,
AUPHU,Port Huon,,,
AUPJK,Port Jackson,,,
AUPMK,Palm Island,,,
AUPQQ,Port Macquarie,,,
AUPRB,Proper Bay,,,
AUPRC,Price,,,
AUPSY,Port Stanley,,,
AUPTI,Port Douglas,,,
AUPWI,Point Wilson,,,
AUPWR,Port Warrender,,,
AURAB,Rapid Bay,,,
AURBU,Roebourne,,,
AURCM,Richmond,,,
AURDN,Risdon,,,
AUROK,Rockhampton,,,
AURTS,Rottnest Island,,,
AUSHB,Shark Bay,,,
AUSKV,Skua Venture (oil terminal),,,
AUSKY,Skye,,,
AUSMT,Saladin Marine Terminal,,,
AUSPB,Spring Bay,,,
AUSRN,Strahan,,,
AUSSH,Sellicks Hill,,,
AUSTA,Stanley,,,
AUSTG,Stag Platform,,,
AUTHE,Thevenard,,,
AUTOB,Towford Bay,,,
AUULT,Ultimo,,,
AUUSL,Useless Loop,,,
AUVAR,Varanus Island,,,
AUVIB,Boronia,,,
AUVIT,Wishart,,,
AUWAZ,Warwick,,,
AUWMB,Warrnambool,,,
AUWNT,Wandoo Terminal,,,
AUWOT,Wonthaggi,,,
AUWYA,Whyalla,,,
AUWYN,Wyndham,,,
AUYBA,Yamba,,,
AWDEU,Druif,,,
AWSNL,Sint Nicolaas,,,
BABIR,Biracevac,,,
BDBZL,Barisal,,,
BDKHL,Khulna,,,
BEABK,Albertkanaal ports,,,
BEAVG,Anvaing,,,
BEIAI,Denderhoutem,,,
BESKA,Sint Katelijne Waver,,,
BETRG,Thorembais-les-Beguines,,,
BETTJ,Heultje,,,
BEWAH,Hoves,,,
BEXXX,RIS Inland waterways,,,
BGBOJ,Burgas,,,
BGPOD,Podayva,,,
BGSLS,Silistra,,,
BGSOM,Somovit,,,
BGSVI,Svistov,,,
BGVID,Vidin,,,
BGXXX,RIS Inland waterways,,,
BJSEM,Seme Terminal,,,
BMFPT,Freeport,,,
BMKWF,Kings Wharf,,,
BNKUB,Kuala Belait,,,
BNLUM,Lumut,,,
BNTAS,Tanjong Salirong,,,
BRANT,Antonina,,,
BRBNU,Blumenau,,,
BRBPS,Porto Seguro,,,
BRCMC,Camocim,,,
BRCMG,Corumba,,,
BRMCU,Macau,,,
BRNTR,Niteroi,,,
BRPET,Pelotas,,,
BRPRJ,Parai,,,
BRPVH,Porto Velho,,,
BSASD,"Andros Town, Andros Island",,,
BSCCZ,"Chub Cay, Berry Islands",,,
BSCLP,Clifton Point,,,
BSCRI,Crooked Island,,,
BSELE,Eleuthera Island,,,
BSGGT,"George Town, Great Exuma Island",,,
BSGHB,"Governors Harbour, Eleuthera",,,
BSIGA,Inagua,,,
BSMAT,Matthew Town,,,
BSMYG,Mayaguana Island,,,
BSOCE,Ocean Cay,,,
BSSRP,South Riding Point,,,
BSTCB,"Treasure Cay, Great Abaco Island",,,
BSWKR,Walker's Cay,,,
BSZSA,San Salvador Island,,,
BZCOL,Colinto,,,
CAAAL,Alert Bay,,,
CAAHL,Apple Hill,,,
CAAMH,Amherstburg,,,
CAANB,Andys Bay,,,
CABAD,Baddeck,,,
CABAY,Bayside (St Roberts),,,
CABBB,Blubber Bay,,,
CABBY,Blind Bay,,,
CABCK,Brockville,,,
CABCT,Bancroft,,,
CABCV,Beale Cove,,,
CABEH,Beaver Harbour,,,
CABGT,Bagotville,,,
CABLC,Bella Coola,,,
CABLH,Blacks Harbour,,,
CABLL,Beloeil,,,
CABRI,Britannia Beach,,,
CABRT,Broughton Is,,,
CABRW,Bridgewater,,,
CABTF,Butterfly Bay,,,
CABTH,Bath,,,
CABTT,Britt,,,
CABWV,Bowmanville,,,
CACAQ,Caraquet,,,
CACCB,Cowichan Bay,,,
CACDN,Cardinal,,,
CACDO,Cape Dorset,,,
CACFL,Cooper Cliff,,,
CACHM,Chemainus,,,
CACHN,Chatham,,,
CACHS,Cohasset,,,
CACLB,Colborne,,,
CACLR,Clyde River,,,
CACLT,Carleton,,,
CACOC,Contrecoeur,,,
CACOH,Country Harbour,,,
CACOL,Collingwood,,,
CACOM,Campbellton,,,
CACOP,Coppermine,,,
CACOR,Corunna,,,
CACOU,Courtenay,,,
CACOX,Comox,,,
CACPB,Campobello,,,
CACQA,Coteau du Lac,,,
CACRO,Crofton,,,
CACRR,Courtright,,,
CACSC,Cote-Sainte-Catherine,,,
CACSN,Clarkson,,,
CACST,Chester,,,
CACUM,Cumberland Bay,,,
CACWI,Cornwallis Is,,,
CACWL,Cornwall,,,
CADDS,Saint-Davids,,,
CADIG,Digby,,,
CAEEK,Belleisle Creek,,,
CAEIW,Wellington,,,
CAENE,Erieau,,,
CAESQ,Esquimalt,,,
CAESX,Point-Escuminac,,,
CAFAL,Fort Albany,,,
CAFRV,Forestville,,,
CAFSI,Fort Simpson,,,
CAFSM,Fort Smith,,,
CAGBT,Godbout,,,
CAGCA,Gros Cacouna,,,
CAGGS,Ganges,,,
CAGOH,Goderich,,,
CAGOR,Gold River,,,
CAGRS,Grindstone,,,
CAHAB,Hall Beach,,,
CAHID,Hilda,,,
CAHPT,Hantsport,,,
CAHWS,Howe Sound,,,
CAION,Iona,,,
CAJEI,Jervis Inlet,,,
CAKLY,Killarney,,,
CAKVL,Kingsville,,,
CAKWI,King William Is,,,
CALAC,Lachine/Montreal,,,
CALAD,Ladysmith,,,
CALAH,Lake Harbour,,,
CALAW,Lakeview,,,
CALCH,Lachute,,,
CALCO,Lacolle,,,
CALDN,Ladner,,,
CALIC,Little Current,,,
CALIN,Little Narrows,,,
CALNG,Langley,,,
CALUN,Lunenburg,,,
CAMAR,Marathon,,,
CAMDB,Meldrum Bay,,,
CAMEB,Menzies Bay,,,
CAMET,Meteghan,,,
CAMGD,Magdalen Is,,,
CAMGT,Sainte-Marguerite,,,
CAMHB,Mahone Bay,,,
CAMID,Midland,,,
CAMIH,Michipicoten,,,
CAMIR,Miramichi,,,
CAMNE,Matane,,,
CAMOB,Morrisburg,,,
CAMOU,Moosonee,,,
CAMRI,Maple Ridge,,,
CAMSS,Masset,,,
CAMTQ,Mactaquac,,,
CAMUL,Mulgrave,,,
CANAF,North Arm Fraser,,,
CANIA,Niagara Falls,,,
CANNE,Nanoose Bay,,,
CANON,Shannon,,,
CANVK,Nanisivik,,,
CANWE,New Westminster,,,
CAOPE,Port Hope,,,
CAOSH,Oshawa,,,
CAOTT,Ottawa,,,
CAOWS,Owen Sound,,,
CAPAQ,Pointe-aux-Basques,,,
CAPAR,Parrsboro,,,
CAPAS,Paspebiac,,,
CAPCO,Port Colborne,,,
CAPCR,Port Credit,,,
CAPDI,Pond Inlet,,,
CAPDO,Saint-Pierre-de-l'Ile-d'Orleans,,,
CAPDV,Port Dover,,,
CAPEH,Pender Harbour,,,
CAPHY,Port Hardy,,,
CAPML,Port Mellon,,,
CAPMO,Port Moody/Vancouver,,,
CAPNE,Port Nelson,,,
CAPNT,Pangnirtung,,,
CAPOP,Pointe-au-Pic,,,
CAPOU,Pouce Coupe,,,
CAPPC,Pointe au Pic,,,
CAPRE,Prescott,,,
CAPRP,Port Perry,,,
CAPRS,Parry Sound,,,
CAPSI,Port Simpson,,,
CAPTB,Patricia Bay,,,
CAPTN,Portneuf,,,
CAPTO,Pictou,,,
CAPUG,Pugwash,,,
CAQCS,Saint-Bernard-de-Michaudville,,,
CAQTS,Quatsino,,,
CAREB,Resolute Bay,,,
CAROA,Roaches Line,,,
CARUI,Rupert Inlet,,,
CARUS,Ruskin,,,
CASBD,Saint-Bernard,,,
CASDY,Sidney,,,
CASEL,Selkirk,,,
CASHE,Shediac,,,
CASHP,Shippegan,,,
CASHV,Shannonville,,,
CASIC,Simcoe,,,
CASID,Saint-Isidore,,,
CASKE,Saint-Anne-de-Kent,,,
CASOM,Sombra,,,
CASOO,Sooke,,,
CASOU,Souris,,,
CASPR,Spragge,,,
CASSM,Sault-Sainte-Marie,,,
CASSP,Sandspit,,,
CAST6,Sorel-Tracy,,,
CASTC,Stoney Creek,,,
CASTH,Saint-Thomas,,,
CASTS,Saint-Stephen,,,
CASUD,Sudbury,,,
CASUM,Summerside,,,
CASUY,Surrey,,,
CATAD,Tadoussac,,,
CATAS,Tasu,,,
CATEX,Texada Island,,,
CATHD,Thorold,,,
CATHL,Thornhill,,,
CATLB,Tilbury Is,,,
CATNG,Tingwick,,,
CATRB,Trinity Bay,,,
CATTC,Trenton,,,
CATUK,Tuktoyaktuk,,,
CAVND,Vananda,,,
CAWAI,Watson Is,,,
CAWAL,Wallaceburg,,,
CAWEL,Welland,,,
CAWEP,Welshpool,,,
CAWEY,Weymouth,,,
CAWHF,Whitefish,,,
CAWHI,Whitby,,,
CAWIG,Wingham,,,
CAWND,Windsor,,,
CAWOO,Woodfibre,,,
CAYRH,Yarmouth,,,
CAZEB,Zeballos,,,
CDFIH,Kinshasa,,,
CGDJE,Djeno Terminal,,,
CGOUE,Ouesso,,,
CHBSL,Basel,,,
CHJJO,Melide,,,
CHKRZ,Kreuzlingen,,,
CHKSS,Kussnacht,,,
CHXXX,RIS Inland waterways,,,
CIZSS,Sassandra,,,
CKAIU,Atiu,,,
CKARU,Arutunga,,,
CKMGS,Mangaia,,,
CKMOI,Mitiaro Island,,,
CLPPD,Punta Padrones,,,
CMLIT,Limboh Terminal,,,
CMTKC,Tiko,,,
CNBAH,Bahe,,,
CNBAU,Baxu,,,
CNBHE,Buhe,,,
CNBHT,Tieshan,,,
CNBIC,Beicun,,,
CNBIY,Beiyao,,,
CNBLG,Beilun Pt,,,
CNBLI,Bali,,,
CNBLO,Bailuo,,,
CNBOA,Boao,,,
CNBSE,Baise,,,
CNBSI,Baishi,,,
CNCAH,Changhua,,,
CNCBG,Chen Barag,,,
CNCBI,Chibi,,,
CNCFF,Suidong,,,
CNCGJ,Changjing,,,
CNCGZ,Chongzuo,,,
CNCHE,Chengaogang,,,
CNCHQ,Chongqing Pt,,,
CNCHS,Chuanshan,,,
CNCIG,Chenjiagang,,,
CNCJA,Congjiang,,,
CNCJI,Chengjiang,,,
CNCNX,Xinxu,,,
CNCSJ,Changshou,,,
CNCSL,Laiwu,,,
CNCSO,Changshou,,,
CNCUM,Chumen,,,
CNDAA,Dagang,,,
CNDBG,Dongbang,,,
CNDCG,Ducheng,,,
CNDDG,Dandong Pt,,,
CNDDK,Dadukou,,,
CNDDP,Didu,,,
CNDFN,Dongfeng,,,
CNDGU,Donggu,,,
CNDHD,Douhudi,,,
CNDHP,Dahuangpu,,,
CNDIA,Digang,,,
CNDIZ,Dadingzi,,,
CNDJG,Dongjiang Port Area,,,
CNDJI,Dajing,,,
CNDJO,Daojiao,,,
CNDLI,Dongliu,,,
CNDMJ,Jingan,,,
CNDMX,Xinhuan,,,
CNDNT,Dantu,,,
CNDOZ,Dongzhang,,,
CNDQD,Daqindao,,,
CNDSA,Dasha,,,
CNDSB,Dongsunba,,,
CNDSI,Dongshi,,,
CNDSO,Dasong,,,
CNDTZ,Dataizi,,,
CNDWN,Dawan,,,
CNDXU,Daxu,,,
CNDYI,Dayi,,,
CNDYW,Dayaowan,,,
CNDZM,Danzhimatou,,,
CNEBA,Erba,,,
CNECG,Echeng,,,
CNEGN,Ergun,,,
CNETK,Ertaokou,,,
CNFAG,Fugang,,,
CNFDU,Fengdu,,,
CNFJE,Fengjie,,,
CNFSA,Fushan,,,
CNFSI,Fusui,,,
CNFUC,Fucheng,,,
CNFWN,Fuwan,,,
CNFXG,Fuxing,,,
CNFZL,Dantou,,,
CNFZX,Fuzhouxingang,,,
CNGBG,Guanbu Pt,,,
CNGBT,Guangbaotong,,,
CNGCH,Guancheng,,,
CNGDI,Gedian,,,
CNGGN,Gongan,,,
CNGGU,Gongguan,,,
CNGLG,Gaoleng,,,
CNGLI,Guangli,,,
CNGNG,Guangning,,,
CNGNI,Guangning,,,
CNGPG,Guiping,,,
CNGUL,Gangluan,,,
CNGYN,Nanan,,,
CNGYO,Guanyao,,,
CNGZC,Guangzhouchuanchang,,,
CNHAQ,Huangqi/Nanhai,,,
CNHAS,Heshan,,,
CNHBG,Harbin Pt,,,
CNHDG,Huadu Pt,,,
CNHDN,Haidian,,,
CNHGA,Honghua,,,
CNHGG,Hongguang Pt,,,
CNHGN,Haigeng,,,
CNHIK,Huikou,,,
CNHIM,Haimiao,,,
CNHJI,Huangjiang,,,
CNHKU,Hukou,,,
CNHLE,Hulan Ergi,,,
CNHLW,Heliwei,,,
CNHNS,Huanshi,,,
CNHOD,Hongdu,,,
CNHOH,Honghu,,,
CNHOQ,Hongqi,,,
CNHTO,Haitou,,,
CNHUE,Huchen,,,
CNHUP,Huo Pt,,,
CNHUS,Huashi,,,
CNHUY,Huayang,,,
CNHXA,Hengxian,,,
CNHXE,Haoxue,,,
CNHZO,Huangzhou,,,
CNJAA,Jiang'an,,,
CNJBI,Jianbi,,,
CNJCH,Jiangcheng,,,
CNJCN,Jiangchuan,,,
CNJES,Jieshi,,,
CNJGJ,Jiangjin,,,
CNJHK,Jinhekou,,,
CNJIP,Jiangping,,,
CNJKO,Jiangkou,,,
CNJLI,Jianli,,,
CNJLP,Jiulongpo Pt,,,
CNJMY,Jimiya,,,
CNJNH,Jinhaian,,,
CNJNL,Jinli,,,
CNJOK,Jiaokou,,,
CNJPI,Jinpai,,,
CNJPU,Jiangpu,,,
CNJSG,Jiaoshan Pt,,,
CNJTG,Jingtang Pt,,,
CNJTO,Jiantiao,,,
CNJUL,Jiuli,,,
CNJZU,Jiuzhou Pt,,,
CNKMN,Kanmen,,,
CNKZG,Kangzhou Pt,,,
CNLAL,Laolong,,,
CNLCP,Lucheng Pt,,,
CNLDK,Laodukou,,,
CNLGA,Long'an,,,
CNLGW,Longwu,,,
CNLID,Lidao,,,
CNLIJ,Lijiang,,,
CNLJD,Liujiadu,,,
CNLJK,Luanjiakou,,,
CNLJN,Liujing,,,
CNLJP,Liujia Pt,,,
CNLJT,Luojingtan,,,
CNLKP,Liukou Pt,,,
CNLMN,Longmen,,,
CNLNN,Lunan,,,
CNLOH,Luohuang,,,
CNLOZ,Longzhou,,,
CNLPG,Mouping,,,
CNLPP,Longping Pt,,,
CNLQI,Luoqi,,,
CNLTP,Letianxi Pt,,,
CNLXH,Laoxiahe,,,
CNLXP,Luxikou Pt,,,
CNLYP,Liying Pt,,,
CNLZI,Luzhai,,,
CNLZP,Liuzuo Pt,,,
CNMAY,Mayong,,,
CNMGG,Meigeng,,,
CNMHG,Minxing,,,
CNMIO,Meiao,,,
CNMJD,Majiadian,,,
CNMLG,Maoling,,,
CNMLI,Meilin,,,
CNMOT,Miaotou,,,
CNMPP,Maoping Pt,,,
CNMSG,Meishan Pt,,,
CNMSP,Maoshan Pt,,,
CNMTZ,Matouzhen,,,
CNMYM,Moupingyangmadao,,,
CNMZU,Muzhou,,,
CNMZW,Meizhouwan,,,
CNNAD,Nandu,,,
CNNCA,Nicha,,,
CNNIG,Nanning Pt,,,
CNNKL,Niuguling,,,
CNNMI,Ningming,,,
CNNNX,Nanxi,,,
CNNSY,Nianshanyapojiao,,,
CNNTN,Niutoushan,,,
CNNXI,Nanxiang,,,
CNPDX,Pudongxinqu Pt,,,
CNPGN,Pingnan,,,
CNPIL,Pingle,,,
CNPJO,Pojiao,,,
CNPKO,Pikou,,,
CNPNT,Pantang,,,
CNPQA,Puqian,,,
CNPQI,Puqi,,,
CNPSH,Pingsha,,,
CNPTS,Sanjiangkou,,,
CNPXI,Puxi,,,
CNPZE,Pengze,,,
CNPZO,Paizhou,,,
CNQGG,Qingge,,,
CNQJG,Qinjiang,,,
CNQJI,Qingjiang,,,
CNQJO,Qiangjiao,,,
CNQKE,Qike,,,
CNQKU,Qukou,,,
CNQMN,Qimen,,,
CNQSE,Qingshuihe/Shenzhen,,,
CNQXT,Qixingtai,,,
CNQYA,Qingyang,,,
CNQZC,Chongwu,,,
CNQZO,Qizhou,,,
CNRAG,Ruichang,,,
CNRCH,Rongcheng,,,
CNRGA,Rong'an,,,
CNRGC,Rongcheng,,,
CNRIA,Ruian,,,
CNRJG,Rongjiang,,,
CNRJN,Runjiang,,,
CNRSI,Rongshui,,,
CNRSN,Rushankou,,,
CNRUG,Rugao Pt,,,
CNSAA,Sanhua,,,
CNSAJ,Qinzhoushajing,,,
CNSAP,Shaping,,,
CNSBH,Shibahe,,,
CNSBM,Sanbaimen,,,
CNSDP,Sandouping,,,
CNSEZ,Shahezi,,,
CNSHG,Shanghai Pt,,,
CNSHO,Shajiao,,,
CNSHQ,Shiqi,,,
CNSHX,Xinan,,,
CNSIG,Sanjiang,,,
CNSIP,Shiqu Pt,,,
CNSIU,Shizhu,,,
CNSIZ,Suizhong,,,
CNSJJ,Shijingjiaoxin,,,
CNSJO,Shijitou,,,
CNSJT,Sijitun,,,
CNSLG,Shiliugang,,,
CNSMN,Songmen,,,
CNSNA,Sanyang,,,
CNSOG,Songgai,,,
CNSQN,Shenquan,,,
CNSRG,Sanrong,,,
CNSSG,Shashangang,,,
CNSSN,Shashan,,,
CNSSP,Shuangshui,,,
CNSYC,Shayuchong,,,
CNSYG,Shiyang,,,
CNSZG,Suzhou Pt,,,
CNSZK,Songzikou,,,
CNSZO,Sanzhou,,,
CNSZP,Shenzhen Pt,,,
CNTAZ,Taizhou Pt,,,
CNTBS,Tianjinbaoshuiqu,,,
CNTFG,Tuanfeng,,,
CNTID,Tiandong,,,
CNTIY,Tianyang,,,
CNTJA,Tangjia,,,
CNTJD,Tuojidao,,,
CNTNC,Lintao,,,
CNTNO,Tanggou,,,
CNTOH,Tonghe,,,
CNTOX,Tongxing,,,
CNTOZ,Tongzhao,,,
CNTPK,Taipingkou,,,
CNTQO,Tuqiao,,,
CNTXI,Tengxian,,,
CNTZE,Tianzhen,,,
